City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,vila franca do campo,37.7167,-25.4333,13.08,81,68,4.26,PT,1679024109
255,khasan,42.4308,130.6434,4.9,40,0,4.46,RU,1679024109
256,kaniama,-7.5667,24.1833,17.52,98,100,1.46,CD,1679024110
257,faanui,-16.4833,-151.75,28.28,77,29,5.65,PF,1679024110
258,haverfordwest,51.8017,-4.9691,10.59,96,90,1.79,GB,1679024111
259,sept-iles,50.2001,-66.3821,-1.0,84,40,2.06,CA,1679023974
260,alice springs,-23.7,133.8833,37.75,10,3,6.69,AU,1679024111
261,ambon,-3.6954,128.1814,31.08,70,40,3.6,ID,1679024112
262,mobaye,4.319,21.1786,21.0,97,100,1.22,CF,1679024112
263,bahir dar,11.5936,37.3908,17.64,27,17,1.71,ET,1679024113
264,villeneuve-les-avignon,43.9684,4.7963,8.07,81,0,3.09,FR,1679024113
265,sawai madhopur,25.9833,76.3667,25.69,32,54,1.14,IN,1679024114
266,togur,58.3631,82.8265,-3.74,84,31,3.94,RU,1679024114
267,batsfjord,70.6345,29.7185,-3.04,93,94,12.86,NO,1679024114
268,giyon,8.5333,37.9833,16.16,76,97,0.43,ET,1679024115
269,prainha,-1.8,-53.48,22.82,97,100,1.56,BR,1679024115
270,orocue,4.7912,-71.3354,27.46,42,9,1.91,CO,1679024116
271,devonport,-41.1667,146.35,20.29,61,85,1.34,AU,1679024116
272,port-de-bouc,43.4,4.9833,10.32,74,0,4.12,FR,1679024116
273,poum,-20.2333,164.0167,27.74,79,96,4.48,NC,1679024117
274,tomiya,38.3931,140.8861,11.66,38,95,6.26,JP,1679024117
275,nome,64.5011,-165.4064,-12.96,61,0,0.0,US,1679024118
276,idaho falls,43.4666,-112.0341,-2.95,80,0,0.89,US,1679023978
277,tasiilaq,65.6145,-37.6368,-8.91,86,100,2.77,GL,1679024118
278,waraseoni,21.75,80.0333,27.0,45,70,4.2,IN,1679024119
279,rio de janeiro,-22.9028,-43.2075,24.98,78,0,4.12,BR,1679024072
280,road town,18.4167,-64.6167,25.05,74,88,4.43,VG,1679024057
281,egvekinot,66.3167,-179.1667,-18.03,88,5,0.55,RU,1679024120
282,baykit,61.67,96.37,0.37,86,100,4.95,RU,1679024120
283,awjilah,29.1081,21.2869,11.66,73,0,3.59,LY,1679024121
284,vila,42.0304,-8.1588,6.49,3,78,3.14,PT,1679024122
285,tuatapere,-46.1333,167.6833,13.1,71,84,6.56,NZ,1679024123
286,evensk,61.95,159.2333,-1.01,98,100,5.68,RU,1679024123
287,bethel,41.3712,-73.414,8.46,60,20,1.54,US,1679024123
288,broome,42.2506,-75.833,3.12,81,100,0.89,US,1679024124
289,leningradskiy,69.3833,178.4167,-10.11,84,70,2.17,RU,1679024125
290,tornio,65.8481,24.1466,-15.99,100,100,1.68,FI,1679024125
291,levelland,33.5873,-102.378,1.77,53,100,7.95,US,1679024126
292,laguna de perlas,12.3429,-83.6712,25.2,84,66,3.55,NI,1679024126
293,yangjiang,21.85,111.9667,24.44,57,95,2.65,CN,1679024126
294,longyearbyen,78.2186,15.6401,-19.09,84,75,4.63,SJ,1679024127
295,lazaro cardenas,17.9583,-102.2,23.52,81,0,1.64,MX,1679024127
296,gravdal,68.1214,13.5031,-3.93,66,1,6.4,NO,1679024128
297,ortona,42.3496,14.4039,7.14,59,2,2.6,IT,1679024128
298,tiksi,71.6872,128.8694,-8.88,78,96,9.4,RU,1679024129
299,zaragoza,41.6561,-0.8773,12.25,80,0,5.14,ES,1679023968
300,ilulissat,69.2167,-51.1,-10.99,67,100,2.06,GL,1679024129
301,alta floresta,-9.8756,-56.0861,21.32,99,100,1.14,BR,1679024130
302,kaeo,-35.1,173.7833,24.07,87,38,4.56,NZ,1679024130
303,codrington,-38.2667,141.9667,22.53,38,5,4.09,AU,1679024131
304,am timan,11.0297,20.2827,27.59,48,100,3.29,TD,1679024131
305,airai,-8.9266,125.4092,20.34,84,99,0.34,TL,1679024131
306,faro,37.0194,-7.9322,13.88,94,20,2.57,PT,1679024132
307,khingansk,49.1167,131.1833,-6.37,68,99,5.72,RU,1679024132
308,mar del plata,-38.0023,-57.5575,22.27,97,100,0.45,AR,1679024133
309,manta,-0.95,-80.7333,26.88,78,20,1.03,EC,1679024133
310,east london,-33.0153,27.9116,21.33,88,100,8.18,ZA,1679024134
311,palmer,42.1584,-72.3287,2.91,76,20,0.0,US,1679023980
312,grand gaube,-20.0064,57.6608,25.77,87,100,7.21,MU,1679024134
313,pozo colorado,-23.4923,-58.7972,22.96,96,81,2.2,PY,1679024134
314,kardamas,37.7667,21.3333,12.17,93,40,0.0,GR,1679024135
315,kavieng,-2.5744,150.7967,26.1,83,100,4.55,PG,1679024135
316,punta alta,-38.8759,-62.0736,25.3,52,0,4.98,AR,1679024136
317,anadyr,64.75,177.4833,-12.72,78,0,4.92,RU,1679024136
318,taoudenni,22.6783,-3.9836,23.35,11,12,4.76,ML,1679024137
319,asau,46.4333,26.4,1.51,71,23,2.68,RO,1679024137
320,mayor pablo lagerenza,-19.9309,-60.7718,22.11,95,93,0.41,PY,1679024138
321,lengshuitan,26.4111,111.5956,8.96,78,100,4.02,CN,1679024138
322,port-gentil,-0.7193,8.7815,27.72,75,100,3.05,GA,1679024139
323,mayumba,-3.432,10.6554,25.2,88,100,2.93,GA,1679024139
324,casimcea,44.7333,28.3667,4.06,78,100,9.17,RO,1679024140
325,turukhansk,65.8167,87.9833,0.04,100,100,7.22,RU,1679024140
326,longonjo,-12.9067,15.2533,15.5,95,98,0.47,AO,1679024140
327,wattegama,6.7989,81.4808,29.8,53,85,2.83,LK,1679024141
328,necochea,-38.5473,-58.7368,18.6,92,4,2.72,AR,1679024141
329,tocopilla,-22.092,-70.1979,21.61,85,31,1.59,CL,1679024142
330,marinette,45.1,-87.6307,2.25,100,100,3.6,US,1679024142
331,vao,-22.6667,167.4833,24.89,86,94,3.25,NC,1679024143
332,itarema,-2.9248,-39.9167,23.32,95,100,1.01,BR,1679024143
333,bathsheba,13.2167,-59.5167,25.34,69,20,4.12,BB,1679024144
334,adrar,20.5022,-10.0711,24.05,9,21,5.24,MR,1679024144
335,bucerias,20.75,-105.3333,23.99,73,0,3.09,MX,1679023968
336,georgetown,5.4112,100.3354,31.96,69,20,2.06,MY,1679023861
337,casambalangan,18.3765,122.1274,27.18,66,48,3.51,PH,1679024145
338,akersberga,59.4794,18.2997,0.03,88,100,4.57,SE,1679024145
339,pokoynoye,44.8097,44.2517,8.08,92,97,3.17,RU,1679024146
340,capiibary,-24.8,-56.0333,21.45,99,93,2.58,PY,1679024146
341,vetlanda,57.4289,15.0776,0.59,55,100,5.66,SE,1679024146
342,fairbanks,64.8378,-147.7164,-13.55,55,20,3.6,US,1679024147
343,rantepao,-2.9701,119.8978,27.49,69,95,1.7,ID,1679024147
344,dombarovskiy,50.7587,59.5386,-6.23,74,15,0.88,RU,1679024148
345,namibe,-15.1961,12.1522,22.37,86,98,1.97,AO,1679024148
346,dingle,10.9995,122.6711,29.56,66,94,6.46,PH,1679024149
347,vila do maio,15.1333,-23.2167,21.44,80,2,8.22,CV,1679024149
348,takaka,-40.85,172.8,19.75,67,100,5.17,NZ,1679024094
349,vostochnyy,55.8167,37.8667,1.15,93,100,4.86,RU,1679024150
350,nizwa,22.9333,57.5333,25.64,34,0,0.73,OM,1679024088
351,mandera,3.9366,41.867,26.8,67,100,1.7,KE,1679024150
352,yurginskoye,56.8189,67.3921,-1.04,86,27,2.74,RU,1679024151
353,dukat,62.55,155.55,-6.93,92,100,3.62,RU,1679024151
354,krk,45.0258,14.5731,6.69,49,25,3.19,HR,1679024151
355,half moon bay,37.4636,-122.4286,12.68,77,0,6.69,US,1679024152
